iter	Passed	Remaining
665	53752	26956
666	53833	26876
667	53901	26789
668	53974	26704
669	54060	26626
670	54129	26540
671	54195	26452
672	54278	26372
673	54349	26287
674	54421	26202
675	54509	26125
676	54582	26041
677	54658	25958
678	54743	25880
679	54820	25798
680	54900	25717
681	54984	25638
682	55057	25553
683	55150	25478
684	55222	25394
685	55300	25312
686	55369	25226
687	55459	25150
688	55531	25065
689	55591	24976
690	55672	24895
691	55748	24812
692	55813	24725
693	55900	24647
694	55971	24563
695	56046	24480
696	56143	24406
697	56212	24320
698	56299	24243
699	56366	24157
700	56430	24069
701	56513	23989
702	56601	23912
703	56674	23829
704	56763	23752
705	56835	23668
706	56908	23584
707	56988	23503
708	57067	23422
709	57133	23336
710	57205	23252
711	57281	23170
712	57357	23087
713	57431	23004
714	57512	22924
715	57576	22837
716	57645	22752
717	57738	22677
718	57817	22596
719	57902	22517
720	57972	22433
721	58044	22349
722	58117	22266
723	58203	22188
724	58275	22104
725	58351	22022
726	58424	21939
727	58496	21855
728	58567	21772
729	58649	21692
730	58723	21609
731	58814	21533
732	58890	21451
733	58959	21366
734	59041	21287
735	59120	21206
736	59197	21124
737	59271	21042
738	59353	20962
739	59449	20887
740	59541	20811
741	59632	20734
742	59713	20654
743	59790	20573
744	59990	20533
745	60188	20493
746	60304	20424
747	60393	20346
748	60562	20295
749	60653	20217
750	60743	20140
751	60828	20060
752	60923	19984
753	61005	19903
754	61107	19829
755	61216	19757
756	61306	19679
757	61399	19602
758	61496	19526
759	61595	19451
760	61679	19371
761	61765	19291
762	61833	19206
763	61902	19121
764	61981	19040
765	62060	18958
766	62128	18873
767	62193	18787
768	62277	18707
769	62366	18628
770	62463	18552
771	62527	18466
772	62595	18381
773	62666	18297
774	62745	18216
775	62842	18140
776	62907	18054
777	62986	17973
778	63064	17891
779	63127	17805
780	63210	17724
781	63314	17650
782	63395	17569
783	63477	17488
784	63549	17405
785	63628	17323
786	63706	17242
787	63785	17160
788	63853	17076
789	63921	16991
790	64000	16910
791	64090	16831
792	64175	16751
793	64255	16670
794	64326	16587
795	64429	16512
796	64501	16428
797	64571	16345
798	64642	16261
799	64721	16180
800	64788	16096
801	64871	16015
802	64944	15932
803	65014	15849
804	65085	15766
805	65169	15686
806	65238	15602
807	65328	15523
808	65414	15443
809	65480	15359
810	65565	15279
811	65638	15197
812	65720	15116
813	65804	15036
814	65866	14951
815	65940	14868
816	66006	14784
817	66093	14705
818	66162	14621
819	66242	14540
820	66311	14457
821	66378	14374
822	66455	14292
823	66546	14213
824	66614	14130
825	66703	14051
826	66782	13970
827	66849	13886
828	66940	13807
829	67016	13726
830	67089	13643
831	67154	13560
832	67238	13479
833	67307	13396
834	67373	13313
835	67459	13233
836	67531	13151
837	67605	13069
838	67678	12987
839	67758	12906
840	67821	12822
841	67899	12741
842	67973	12659
843	68044	12576
844	68114	12494
845	68191	12413
846	68264	12331
847	68362	12253
848	68432	12171
849	68510	12090
850	68590	12009
851	68657	11926
852	68731	11844
853	68811	11763
854	68882	11681
855	68952	11599
856	69039	11520
857	69107	11437
858	69176	11354
859	69257	11274
860	69331	11192
861	69417	11113
862	69489	11031
863	69556	10948
864	69633	10867
865	69717	10787
866	69786	10705
867	69869	10625
868	69948	10544
869	70017	10462
870	70085	10380
871	70314	10321
872	70426	10245
873	70496	10163
874	70602	10086
875	70693	10006
876	70768	9925
877	70850	9844
878	70928	9763
879	71005	9682
880	71077	9600
881	71169	9521
882	71239	9439
883	71321	9358
884	71396	9277
885	71469	9195
886	71550	9115
887	71633	9034
888	71714	8954
889	71783	8872
890	71862	8791
891	71942	8710
892	72016	8629
893	72101	8549
894	72169	8466
895	72264	8387
896	72385	8311
897	72476	8232
898	72561	8152
899	72631	8070
900	72701	7988
901	72767	7905
902	72852	7825
903	72919	7743
904	72989	7661
905	73073	7581
906	73140	7499
907	73226	7419
908	73300	7338
909	73375	7256
910	73443	7175
911	73524	7094
912	73598	7013
913	73727	6937
914	73842	6859
915	73917	6778
916	73996	6697
917	74068	6616
918	74144	6535
919	74218	6453
920	74304	6373
921	74370	6291
922	74438	6209
923	74523	6129
924	74590	6047
925	74662	5966
926	74739	5885
927	74804	5803
928	74878	5722
929	74963	5642
930	75032	5560
931	75103	5479
932	75187	5399
933	75263	5318
934	75346	5237
935	75426	5157
936	75497	5076
937	75567	4994
938	75660	4915
939	75732	4833
940	75800	4752
941	75879	4671
942	75952	4590
943	76005	4508
944	76094	4428
945	76164	4347
946	76244	4267
947	76311	4185
948	76394	4105
949	76475	4025
950	76559	3944
951	76642	3864
952	76711	3783
953	76794	3702
954	76863	3621
955	76931	3540
956	77000	3459
957	77088	3379
958	77161	3298
959	77231	3217
960	77301	3137
961	77380	3056
962	77453	2975
963	77529	2895
964	77593	2814
965	77685	2734
966	77765	2653
967	77870	2574
968	77940	2493
969	78006	2412
970	78071	2331
971	78154	2251
972	78219	2170
973	78298	2090
974	78376	2009
975	78446	1929
976	78514	1848
977	78592	1767
978	78667	1687
979	78751	1607
980	78827	1526
981	78902	1446
982	78976	1365
983	79054	1285
984	79132	1205
985	79225	1124
986	79302	1044
987	79369	964
988	79440	883
989	79522	803
990	79598	722
991	79671	642
992	79751	562
993	79825	481
994	79891	401
995	79981	321
996	80051	240
997	80116	160
998	80196	80
999	80269	0
